,url,latitud,longitude,n_reviews
114,https://www.tripadvisor.com.ar/Attraction_Review-g34178-d2355042-Reviews-Stetson_Mansion-DeLand_Florida.html,29.023279,-81.323029,5.712 opiniones
115,https://www.tripadvisor.com.ar/Attraction_Review-g34731-d1181294-Reviews-McCarthy_s_Wildlife-West_Palm_Beach_Florida.html,,,
116,https://www.tripadvisor.com.ar/Attraction_Review-g34439-d109886-Reviews-Lincoln_Road-Miami_Beach_Florida.html,25.790668,-80.136581,17.930 opiniones
117,https://www.tripadvisor.com.ar/Attraction_Review-g34345-d104133-Reviews-Mallory_Square-Key_West_Florida_Keys_Florida.html,,,
118,https://www.tripadvisor.com.ar/Attraction_Review-g34678-d107648-Reviews-Busch_Gardens-Tampa_Florida.html,28.037901,-82.421600,18.379 opiniones
119,https://www.tripadvisor.com.ar/Attraction_Review-g34345-d108770-Reviews-Duval_Street-Key_West_Florida_Keys_Florida.html,,,
120,https://www.tripadvisor.com.ar/Attraction_Review-g34439-d108858-Reviews-Ocean_Drive-Miami_Beach_Florida.html,25.778179,-80.131119,12.466 opiniones
121,https://www.tripadvisor.com.ar/Attraction_Review-g34599-d1848903-Reviews-St_Augustine_Wild_Reserve-St_Augustine_Florida.html,,,
122,https://www.tripadvisor.com.ar/Attraction_Review-g34438-d14864466-Reviews-Lock_Load_Museum-Miami_Florida.html,25.801111,-80.194695,1.008 opiniones
123,https://www.tripadvisor.com.ar/Attraction_Review-g34599-d12352576-Reviews-Medieval_Torture_Museum-St_Augustine_Florida.html,,,
124,https://www.tripadvisor.com.ar/Attraction_Review-g34607-d3341237-Reviews-Duncan_McClellan_Gallery-St_Petersburg_Florida.html,27.765423,-82.665367,700 opiniones
125,https://www.tripadvisor.com.ar/Attraction_Review-g34117-d23751000-Reviews-The_Wizard_of_Oz_Museum-Cape_Canaveral_Brevard_County_Florida.html,,,
126,https://www.tripadvisor.com.ar/Attraction_Review-g34607-d23116259-Reviews-Hatchet_Hangout_Axe_Throwing_St_Pete-St_Petersburg_Florida.html,27.770792,-82.665436,727 opiniones
127,https://www.tripadvisor.com.ar/Attraction_Review-g34515-d253208-Reviews-Happily_Ever_After_Fireworks-Orlando_Florida.html,,,
128,https://www.tripadvisor.com.ar/Attraction_Review-g34542-d3532463-Reviews-Bear_Creek_Feline_Center-Panama_City_Florida.html,30.308640,-85.454742,415 opiniones
129,https://www.tripadvisor.com.ar/Attraction_Review-g34072-d17670767-Reviews-Wonder_House-Bartow_Florida.html,,,
130,https://www.tripadvisor.com.ar/Attraction_Review-g34515-d258685-Reviews-Universal_Islands_of_Adventure-Orlando_Florida.html,28.472799,-81.471672,52.312 opiniones
131,https://www.tripadvisor.com.ar/Attraction_Review-g34515-d1968468-Reviews-The_Wizarding_World_of_Harry_Potter_at_Universal_Orlando_Resort-Orlando_Florida.html,28.480040,-81.472519,41.318 opiniones
132,https://www.tripadvisor.com.ar/Attraction_Review-g34248-d1860709-Reviews-Shy_Wolf_Sanctuary_Education_Experience_Center-Golden_Gate_Florida.html,,,
133,https://www.tripadvisor.com.ar/Attraction_Review-g34172-d3498971-Reviews-Equestrian_Adventures_of_Florida-Daytona_Beach_Florida.html,29.304871,-81.065033,134 opiniones
134,https://www.tripadvisor.com.ar/Attraction_Review-g34607-d4356688-Reviews-C_Ponies_Beach_Horses-St_Petersburg_Florida.html,,,
135,https://www.tripadvisor.com.ar/Attraction_Review-g34550-d17806489-Reviews-Grizzly_Axes-Pensacola_Florida.html,30.488647,-87.222969,159 opiniones
136,https://www.tripadvisor.com.ar/Attraction_Review-g34404-d15627735-Reviews-Panther_Ridge_Conservation_Center-Loxahatchee_Florida.html,,,
137,https://www.tripadvisor.com.ar/Attraction_Review-g34521-d16853981-Reviews-Arcade_Monsters-Oviedo_Florida.html,28.651690,-81.206795,589 opiniones
