,state_id,attraction,reviews_url,region,new_categories
83,MI,Sleeping Bear Dunes National Lakeshore,https://www.tripadvisor.com.ar/Attraction_Review-g42182-d143265-Reviews-Sleeping_Bear_Dunes_National_Lakeshore-Empire_Leelanau_County_Michigan.html,East North Central,
84,MI,Comerica Park,https://www.tripadvisor.com.ar/Attraction_Review-g42139-d257969-Reviews-Comerica_Park-Detroit_Michigan.html,East North Central,Deportes
85,MI,Soo Locks,https://www.tripadvisor.com.ar/Attraction_Review-g42684-d483530-Reviews-Soo_Locks-Sault_Ste_Marie_Upper_Peninsula_Michigan.html,East North Central,
86,MI,Fort Mackinac,https://www.tripadvisor.com.ar/Attraction_Review-g42423-d103906-Reviews-Fort_Mackinac-Mackinac_Island_Mackinac_County_Upper_Peninsula_Michigan.html,East North Central,Historia
87,MI,Mackinac Island State Park,https://www.tripadvisor.com.ar/Attraction_Review-g42423-d615400-Reviews-Mackinac_Island_State_Park-Mackinac_Island_Mackinac_County_Upper_Peninsula_Michigan.html,East North Central,
88,MI,Mackinac Bridge,https://www.tripadvisor.com.ar/Attraction_Review-g42671-d104191-Reviews-Mackinac_Bridge-Saint_Ignace_Mackinac_County_Upper_Peninsula_Michigan.html,East North Central,
89,MI,Detroit RiverFront,https://www.tripadvisor.com.ar/Attraction_Review-g42139-d2234870-Reviews-Detroit_RiverFront-Detroit_Michigan.html,East North Central,
90,MI,Gerald R. Ford Museum,https://www.tripadvisor.com.ar/Attraction_Review-g42256-d107351-Reviews-Gerald_R_Ford_Museum-Grand_Rapids_Kent_County_Michigan.html,East North Central,Ciencia
91,MI,Holland State Park Beach,https://www.tripadvisor.com.ar/Attraction_Review-g42310-d1846443-Reviews-Holland_State_Park_Beach-Holland_Ottawa_County_Michigan.html,East North Central,Naturaleza
92,MI,Oval Beach,https://www.tripadvisor.com.ar/Attraction_Review-g42683-d142430-Reviews-Oval_Beach-Saugatuck_Allegan_County_Michigan.html,East North Central,Naturaleza
93,MI,Presque Isle Park,https://www.tripadvisor.com.ar/Attraction_Review-g42441-d2284760-Reviews-Presque_Isle_Park-Marquette_Upper_Peninsula_Michigan.html,East North Central,
94,MI,The Ford Piquette Avenue Plant,https://www.tripadvisor.com.ar/Attraction_Review-g42139-d584774-Reviews-The_Ford_Piquette_Avenue_Plant-Detroit_Michigan.html,East North Central,Ciencia
95,MI,The Guardian Building,https://www.tripadvisor.com.ar/Attraction_Review-g42139-d1867837-Reviews-The_Guardian_Building-Detroit_Michigan.html,East North Central,Historia
96,MI,Windmill Island Gardens,https://www.tripadvisor.com.ar/Attraction_Review-g42310-d490513-Reviews-Windmill_Island_Gardens-Holland_Ottawa_County_Michigan.html,East North Central,Naturaleza
97,MI,Mackinac Island Ferry Co.,https://www.tripadvisor.com.ar/Attraction_Review-g42423-d2262816-Reviews-Mackinac_Island_Ferry_Co-Mackinac_Island_Mackinac_County_Upper_Peninsula_Michigan.html,East North Central,
