,state_id,attraction,reviews_url,region,new_categories,latitud,longitude,n_reviews
118,MI,Windmill Island Gardens,https://www.tripadvisor.com.ar/Attraction_Review-g42310-d490513-Reviews-Windmill_Island_Gardens-Holland_Ottawa_County_Michigan.html,East North Central,Naturaleza,42.799068,-86.095413,1256.0
119,MI,Mackinac Island Ferry Co.,https://www.tripadvisor.com.ar/Attraction_Review-g42423-d2262816-Reviews-Mackinac_Island_Ferry_Co-Mackinac_Island_Mackinac_County_Upper_Peninsula_Michigan.html,East North Central,,45.849617,-84.617401,1567.0
120,MI,Lakenenland Sculpture Park,https://www.tripadvisor.com.ar/Attraction_Review-g42441-d618207-Reviews-Lakenenland_Sculpture_Park-Marquette_Upper_Peninsula_Michigan.html,East North Central,Cultura,46.492447,-87.153679,582.0
121,MI,Colonial Michilimackinac,https://www.tripadvisor.com.ar/Attraction_Review-g42424-d105698-Reviews-Colonial_Michilimackinac-Mackinaw_City_Cheboygan_County_Michigan.html,East North Central,Naturaleza,45.787769,-84.733223,959.0
122,MI,Kitch-Iti-Kipi (The Big Spring),https://www.tripadvisor.com.ar/Attraction_Review-g42430-d8782846-Reviews-Kitch_Iti_Kipi_The_Big_Spring-Manistique_Upper_Peninsula_Michigan.html,East North Central,,46.004192,-86.382057,603.0
123,MI,Quincy Mine,https://www.tripadvisor.com.ar/Attraction_Review-g42276-d667426-Reviews-Quincy_Mine-Hancock_Upper_Peninsula_Michigan.html,East North Central,Historia,47.139839,-88.572594,493.0
136,MI,Porcupine Mountains Wilderness State Park,https://www.tripadvisor.com.ar/Attraction_Review-g42554-d134274-Reviews-Porcupine_Mountains_Wilderness_State_Park-Ontonagon_Upper_Peninsula_Michigan.html,East North Central,Naturaleza,46.80159,-89.769257,633.0
137,MI,Ludington State Park,https://www.tripadvisor.com.ar/Attraction_Review-g42416-d2044388-Reviews-Ludington_State_Park-Ludington_Michigan.html,East North Central,Naturaleza,44.029362,-86.50267,982.0
138,MI,Ford Field,https://www.tripadvisor.com.ar/Attraction_Review-g42139-d560598-Reviews-Ford_Field-Detroit_Michigan.html,East North Central,Deportes,42.338749,-83.046303,877.0
139,MI,Great Lakes Shipwreck Museum,https://www.tripadvisor.com.ar/Attraction_Review-g42575-d1008116-Reviews-Great_Lakes_Shipwreck_Museum-Paradise_Upper_Peninsula_Michigan.html,East North Central,Ciencia,46.770756,-84.958015,974.0
