,nationality,acommodation,stay,company,review,hotel_id,is_american,date,sentiment
93,Estados Unidos,Suite Estudio con cocina y sofá cama - Cama extragrande,2,En familia,"Front desk staff friendly; pizza was not good. Breakfast was ok. Housekeeping very nice. I liked the location of parking too., kitchen was nice.",11042.0,1,2023-11-17,0.41750000000000004
94,Kuwait,"Suite con 1 dormitorio, cama extragrande, sofá cama y cocina",3,En pareja,Location was good,11042.0,0,2023-10-05,0.7
95,Estados Unidos,Den Room with King Bed,1,En familia,The facility is nice and clean,11042.0,1,2023-09-20,0.48333333333333334
96,Estados Unidos,Habitación Doble - 2 camas dobles y sofá cama,2,En familia,Spacious and clean,11042.0,1,2023-09-06,0.3666666666666667
97,Emiratos Árabes Unidos,Suite Estudio con cocina y sofá cama - Cama extragrande,4,En familia,Good location,11042.0,0,2023-08-11,0.7
98,Estados Unidos,Suite Estudio con cocina y sofá cama - Cama extragrande,1,En familia,Location and room were really good.,11042.0,1,2023-02-20,0.7
100,Estados Unidos,Suite Estudio con cocina y sofá cama - Cama extragrande,2,En familia,"no room service, but breakfast was good",11042.0,1,2022-09-19,0.7
101,Estados Unidos,Suite Estudio con cocina y sofá cama - Cama extragrande,2,En familia,"Good location, it is just in the centre in Orange County. Clean, comfortable and stylish room (studio), nice breakfast and tasty coffee",11042.0,1,2022-09-08,0.5133333333333334
102,Estados Unidos,King Studio Suite with Accessible Tub - Disability Access,2,En familia,The proximity to everything near the airport,11042.0,1,2022-09-07,0.1
103,Estados Unidos,Habitación Doble - 2 camas dobles y sofá cama,8,En familia,"Location.
The size of the room.
Friendly staff.",11042.0,1,2022-07-26,0.375
104,Estados Unidos,"Suite con 1 dormitorio, cama extragrande, sofá cama y cocina",1,En pareja,I have no problem spending money on a beautiful hotel. Email system is compromised so anytime I travel I have to be very careful. Made sure to address this with the front desk making sure that our room would be very clean. I even paid an upgrade fee to get an ice room it was a sure that this would be beautiful.,11042.0,1,2022-05-31,0.5066666666666667
105,Estados Unidos,Suite Estudio con cocina y sofá cama - Cama extragrande,1,En pareja,Pictures online much better than the room,11042.0,1,2022-04-04,0.5
106,Estados Unidos,Suite Estudio con cocina y sofá cama - Cama extragrande,3,En grupo,Breakfast was ok.. no cream cheese..,11042.0,1,2022-02-23,0.5
108,Estados Unidos,King Studio Suite with Accessible Tub - Disability Access,1,En pareja,"I liked that the property was close to my venue and it had a balcony to allow air to circulate. 
The staff is fantastic. See below!",11042.0,1,2021-10-04,0.55
109,Estados Unidos,Den Room with King Bed,3,Persona que viaja sola,"It seemed clean for these covid times.
Complimentary breakfast was as expected.",11042.0,1,2021-08-10,0.1888888888888889
110,Estados Unidos,Habitación Doble - 2 camas dobles y sofá cama,3,En familia,"House keeping took my shirts, went to lost and found to try and get them back, was told they weren’t there. So what my clothes magically disappered?",11042.0,1,2021-08-04,0.25
111,Estados Unidos,"Suite con 1 dormitorio, cama extragrande, sofá cama y cocina",1,En pareja,"The rooms were amazing, staff were nice and welcoming.",11042.0,1,2021-07-17,0.6000000000000001
113,Estados Unidos,Habitación Doble - 2 camas dobles y sofá cama,2,En familia,We liked the kitchen in our room and the pull out couch.,11042.0,1,2021-06-24,0.6
114,Alemania,Den Room with King Bed,1,Persona que viaja sola,Breakfast was very disappointing But overall not a top great stay either. Definitely expected more for the rate.,11042.0,0,2021-04-21,0.02833333333333334
115,Estados Unidos,Den Room with King Bed,1,En familia,Not much,11042.0,1,2021-04-14,-0.1
116,Estados Unidos,Den Room with King Bed,1,En familia,Great area close to shopping and the SNA airport. Great staff and quiet. Rooms were nice and clean.,11042.0,1,2023-07-10,0.5133333333333334
117,Estados Unidos,Den Room with King Bed,2,En pareja,very modern and clean,11042.0,1,2023-06-18,0.31333333333333335
118,Estados Unidos,Den Room with King Bed,1,En pareja,"I’d like to first say, me and my wife have stayed at several hotel properties and hands down this has been one of the best experiences. The room was clean, property well kept, and the attention to detail was exceptional. Our visit was a staycation but we would definitely recommend this location.",11042.0,1,2023-05-30,0.30396825396825394
119,Estados Unidos,Den Room with King Bed,3,En familia,very homey cozy comfortable,11042.0,1,2023-03-05,0.13333333333333333
120,Hong Kong,Den Room with King Bed,2,En grupo,very new/ clean,11042.0,0,2022-09-20,0.2833333333333333
121,Estados Unidos,Den Room with King Bed,1,En familia,Everything was perfect and the complementary breakfast was delicious.,11042.0,1,2021-09-30,1.0
122,Estados Unidos,Den Room with King Bed,1,Persona que viaja sola,"Clean, people and the breakfast was good",11042.0,1,2021-08-24,0.5333333333333333
345,México,Habitación con bañera adaptada para personas con discapacidad - 2 camas grandes,5,En familia,"Limpieza en general. El tamaño de la habitacion es mas grande que el promedio, tranquilidad de la habitación. Camas muy comodas. Baños limpios. Y la ubicación del hotel es excelente.",12695.0,0,2023-08-18,0.05000000000000002
358,España,Habitación con cama extragrande.,7,En pareja,"las habitaciones son especiosas y la cama enorme. las zonas comunes super modernas y equipadas. ademas te dan 15 dolares al dia para gastar en el bar o en el pequeño supermercado que tienen dentro. en la puerta tienes varias lineas de autobus y de tranvias, asi como el metro y el bart.",12695.0,0,2022-06-13,0.3333333333333333
377,Emiratos Árabes Unidos,Habitación Doble con balcón y vistas a la bahía - 1 cama extragrande,1,En pareja,The Best Hotel,12695.0,0,2023-12-08,1.0
378,Estados Unidos,Habitación con bañera adaptada para personas con discapacidad - 2 camas grandes,2,En pareja,"The room was excellent, the location was fine and it was very clean",12695.0,1,2023-12-07,0.6311111111111112
379,Austria,Habitación Doble con balcón y vistas a la bahía - 1 cama extragrande,3,En pareja,Friendly front desk staff. Effektiv luggage helpers.,12695.0,0,2023-11-28,0.375
380,Estados Unidos,Habitación Doble con balcón y vistas a la bahía - 1 cama extragrande,4,Persona que viaja sola,"Very nicely decorated, very large room with outdoor balcony (table and chairs too), quiet, comfortable bed. Fantastic bay view.",12695.0,1,2023-11-27,0.3717142857142857
381,Estados Unidos,Habitación Doble con balcón y vistas a la bahía - 1 cama extragrande,1,En familia,Location was great. Views feom the room and room was clean and cozy.,12695.0,1,2023-11-22,0.32222222222222224
382,Estados Unidos,Habitación Doble con balcón y vistas a la bahía - 1 cama extragrande,1,En pareja,"Great location thats right across the street from the water front and the ferry building. Walking distance to Bart station, Chinatown, North Beach and Oracle Park. Very friendly staff. Quiet room. Comfy bed. Very well equipped gym.",12695.0,1,2023-11-20,0.35464285714285715
383,Estados Unidos,Habitación Doble con balcón y vistas a la bahía - 1 cama extragrande,1,En familia,Everything is perfect,12695.0,1,2023-11-20,1.0
384,Estados Unidos,Habitación con vistas a la bahía - 1 cama extragrande,3,En pareja,Beautiful clean and classy. We had a fantastic view of the bay bridge. Husband really liked the elevators.,12695.0,1,2023-11-18,0.4633333333333334
385,Estados Unidos,Habitación Doble con balcón y vistas a la bahía - 1 cama extragrande,1,En pareja,"We loved everything about our stay: the bed, the room, the staff, the view!!",12695.0,1,2023-11-13,1.0
386,Estados Unidos,Habitación con ducha adaptada para personas con discapacidad - 2 camas grandes,1,En familia,Location! Clean ...,12695.0,1,2023-11-11,0.3666666666666667
389,Estados Unidos,Habitación Doble con balcón y vistas a la bahía - 1 cama extragrande,1,En pareja,"Great location, clean comfortable room. Staff worked to accommodate my request for a different room.
Restaurant options were too limited. No breakfast options other than a very expensive buffet.",12695.0,1,2023-10-31,0.10289115646258506
390,Estados Unidos,Habitación Doble con balcón y vistas a la bahía - 1 cama extragrande,1,En pareja,Very nice interior.,12695.0,1,2023-10-29,0.78
391,Estados Unidos,Habitación con cama extragrande y vistas al mar,1,En pareja,The view is amazing,12695.0,1,2023-10-22,0.6000000000000001
393,Estados Unidos,Habitación con vistas a la bahía - 1 cama extragrande,3,Persona que viaja sola,"Clean, nice spacious room with a great view, great downtown location, lovely staff",12695.0,1,2023-10-20,0.6133333333333333
394,Estados Unidos,Habitación con balcón y vistas a la ciudad - 2 camas grandes,2,En familia,The customer service was great our room was very nice and modern and we had a great partial bay view,12695.0,1,2023-10-20,0.496
