city_id,city,county,state_id,population,density,latitude,longitude,zips,geometry
4345.0,Livingston,Park,MT,8110,523.7,45.6665,-110.5539,59047,POINT (-110.5644909410574 45.66291033587233)
4346.0,Carnegie,Allegheny,PA,8100,1929.9,40.408,-80.0861,15106,POINT (-80.08642645588647 40.40766913836476)
4347.0,St. Francis,Anoka,MN,8099,134.1,45.3991,-93.3901,55330 55070,POINT (-93.38979789119117 45.399724652082924)
4348.0,Grandview Heights,Franklin,OH,8099,2378.5,39.9793,-83.0408,43212,POINT (-83.03983993416932 39.97956411540455)
4349.0,Carl Junction,Jasper,MO,8099,571.5,37.1668,-94.5469,64834,POINT (-94.54593104020506 37.163789406306734)
4350.0,Roxboro,Person,NC,8097,438.3,36.3879,-78.9812,27573 27574,POINT (-78.97981850386346 36.40173580607942)
4351.0,Manhasset,Nassau,NY,8093,1310.1,40.7884,-73.6943,11030,POINT (-73.69238769512243 40.79162798809825)
4352.0,York,York,NE,8091,478.3,40.8701,-97.5928,68467,POINT (-97.59590080588683 40.871240740390554)
4353.0,Sioux Center,Sioux,IA,8090,495.0,43.0748,-96.1707,51250,POINT (-96.17177946544265 43.076545565637346)
4354.0,Centerville,Houston,GA,8089,791.8,32.6342,-83.6853,31028 31093,POINT (-83.67627205713069 32.632112759212404)
4355.0,Richfield,Sevier,UT,8086,519.9,38.7613,-112.0931,84701,POINT (-112.09110299996443 38.76593858663041)
4356.0,Selah,Yakima,WA,8081,680.3,46.6481,-120.539,98942,POINT (-120.53510288915831 46.65600859233284)
4357.0,Westlake Village,Los Angeles,CA,8081,601.5,34.1369,-118.822,91361 91362,POINT (-118.82223171541858 34.13606980616871)
4358.0,Interlaken,Santa Cruz,CA,8079,318.2,36.9505,-121.7363,95076,POINT (-121.73391745128278 36.95132999198381)
4359.0,Senatobia,Tate,MS,8075,200.4,34.6081,-89.9762,38668,POINT (-89.9722370236418 34.61761521168591)
4360.0,Albion,Calhoun,MI,8061,705.7,42.2478,-84.7572,49224,POINT (-84.7568460220765 42.24640033321297)
4361.0,New Prague,Scott,MN,8060,792.6,44.5459,-93.5755,56071,POINT (-93.57423081862737 44.54651327902508)
4362.0,Latrobe,Westmoreland,PA,8058,1343.6,40.3125,-79.3825,15650,POINT (-79.38244286161859 40.31217179340645)
4363.0,Pismo Beach,San Luis Obispo,CA,8058,889.6,35.1487,-120.6493,93449 93448,POINT (-120.67801154506262 35.135933458173824)
4364.0,North Bay Village,Miami-Dade,FL,8057,4987.1,25.8487,-80.1535,33141,POINT (-80.15473942306382 25.846974148345332)
4365.0,Island Lake,McHenry,IL,8057,928.7,42.2782,-88.1999,60042,POINT (-88.20161012851484 42.276055943433676)
4366.0,Grand Blanc,Genesee,MI,8055,861.0,42.9258,-83.6181,48439 48480,POINT (-83.61869038028975 42.92582770783781)
4367.0,Antigo,Langlade,WI,8054,481.8,45.141,-89.1552,54409,POINT (-89.15519319880327 45.144065146232045)
4368.0,Thousand Palms,Riverside,CA,8052,131.6,33.815,-116.3545,92276,POINT (-116.3866692260444 33.82181821891811)
4369.0,Rockton,Winnebago,IL,8051,453.0,42.4445,-89.0634,61072,POINT (-89.07003242946122 42.44932384301249)
4370.0,Twin Rivers,Mercer,NJ,8049,2461.2,40.2631,-74.4917,08520,POINT (-74.49215080279892 40.264241741095496)
4371.0,Gypsum,Eagle,CO,8047,351.4,39.6287,-106.9348,81637,POINT (-106.94833365209755 39.643408068069256)
